Nama,URL,Lokasi,Tipe Kuliner,Rasa,Suasana,Harga : Rasa,Pelayanan,Kebersihan,Jam Buka,Pembayaran,Fasilitas,Alamat,Telepon,Price per Person
"The Social Pot 
                [ Jepang,Thailand ]",https://pergikuliner.com/restaurants/jakarta/the-social-pot-pondok-indah,Pondok Indah ," Jepang,Thailand",4.5,4.5,4.4,4.5,4.4,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",Wifi100% HalalBisa reservasiArea parkir,"Pondok Indah Mall 1, Lantai 2Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan","021 7692357,  08119718429",Rp. 100.000 - Rp. 200.000 /orang
"Kohicha Cafe 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/kohicha-cafe-kelapa-gading,Kelapa Gading , Kafe,4.4,4.4,4.1,4.5,4.4,Senin - Minggu (08:30 - 21:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Ruko Gading Kirana, Blok A6A No. 21Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta Utara","021 24520517,  087878431807",Rp. 50.000 - Rp. 100.000 /orang
"Momo Paradise 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/momo-paradise-thamrin,Thamrin , Jepang,4.8,4.4,4.3,4.6,4.5,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet",Wifi100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Plaza Indonesia, Lantai 5Jl. MH Thamrin, Thamrin, Jakarta Pusat",08118886967,Di atas Rp. 200.000 /orang
"Piyoh Kopi 
                [ Kafe ]",https://pergikuliner.com/restaurants/bekasi/piyoh-kopi-bekasi-selatan,Bekasi Selatan , Kafe,4.9,5.0,4.9,4.9,4.9,Senin - Minggu (08:00 - 23:30),Tunai,WifiArea merokokArea outdoor100% HalalArea parkir,"Jl. Lotus Timur Blok RSOD No. 31, Bekasi Selatan, Bekasi",082110151784,Di bawah Rp. 50.000 /orang
"WAKI Japanese BBQ Dining 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/waki-japanese-bbq-dining-thamrin,Thamrin , Jepang,4.7,4.3,4.1,4.2,4.3,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet",Wifi100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Tanjung Karang No. 5 (Lantai 1), Thamrin, Jakarta Pusat",081290109624,Rp. 100.000 - Rp. 200.000 /orang
"Kopi Nako 
                [ Kafe ]",https://pergikuliner.com/restaurants/bekasi/kopi-nako-bekasi-utara,Bekasi Utara , Kafe,4.6,4.7,4.5,4.5,4.5,Senin - Minggu (08:00 - 23:00),"Tunai, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"BCBD Summarecon Bekasi, La SpeziaJl. Bulevar Ahmad Yani No. 56A - B, Bekasi Utara, Bekasi",081283010732,Di bawah Rp. 50.000 /orang
"Onni House 
                [ Kafe ]",https://pergikuliner.com/restaurants/surabaya/onni-house-wonokromo,Wonokromo , Kafe,4.3,4.9,4.2,4.5,4.6,Senin - Minggu (10:00 - 22:00),"Tunai, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Opak No. 56, Wonokromo, Surabaya","031 5630403,  082142910990",Rp. 50.000 - Rp. 100.000 /orang
"Maison Tremel 
                [ Dessert ]",https://pergikuliner.com/restaurants/jakarta/maison-tremel-pondok-indah,Pondok Indah , Dessert,4.6,4.0,4.3,4.5,4.6,Senin - Minggu (10:00 - 21:00),"Tunai, Go-pay, Ovo, Dana",100% HalalArea parkir,"Pondok Indah Mall 2, Lantai 3Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",0818625755,Rp. 50.000 - Rp. 100.000 /orang
"Leisola by Aljazeerah 
                [ Indonesia,Barat ]",https://pergikuliner.com/restaurants/jakarta/leisola-by-aljazeerah-cikini,Cikini ," Indonesia,Barat",4.5,4.5,4.0,4.7,4.7,Senin - Minggu (09:00 - 23:00),"Tunai, Visa, Master, Debet",WifiPesan antarArea merokok100% HalalRuang VIPBisa reservasiArea parkir,"Al-Jazeerah, Lantai 3Jl. Raden Saleh No. 62, Cikini, Menteng, Jakarta Pusat",081210446644,Rp. 100.000 - Rp. 200.000 /orang
"The Social Pot 
                [ Jepang,Thailand ]",https://pergikuliner.com/restaurants/jakarta/the-social-pot-karet-kuningan,Karet Kuningan ," Jepang,Thailand",4.5,4.4,4.3,4.5,4.4,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",Wifi100% HalalBisa reservasiArea parkirAlkohol,"Lotte Mall Jakarta, Lantai 3Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",021 29889625,Rp. 100.000 - Rp. 200.000 /orang
"Bonfire 
                [ Barat ]",https://pergikuliner.com/restaurants/bandung/bonfire-riau,Riau , Barat,4.6,4.7,4.3,4.4,4.4,Senin - Minggu (10:00 - 22:00),"Hanya Non-Tunai: Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkirAlkohol,"Jl. LLRE Martadinata No. 137, Riau, Bandung",082110008545,Rp. 100.000 - Rp. 200.000 /orang
"Aoki Japanese Cuisine - Hotel Gran Mahakam 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/aoki-japanese-cuisine-hotel-gran-mahakam-blok-m,Blok M , Jepang,4.3,4.5,3.7,4.7,4.6,"Senin - Minggu (12:00 - 15:00, 18:00 - 21:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokok100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Hotel Gran Mahakam, Lantai Lower LobbyJl. Mahakam I No. 8, Blok M, Kebayoran Baru, Jakarta Selatan","021 7209966,  021 7258382",Di atas Rp. 200.000 /orang
"Terasa Kopi 
                [ Kafe ]",https://pergikuliner.com/restaurants/bekasi/terasa-kopi-pondok-gede,Pondok Gede , Kafe,4.2,4.6,4.4,4.5,4.6,"Senin - Jumat (09:30 - 22:00), Sabtu - Minggu (11:30 - 24:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Natuna HouseJl. Cempaka No. 23, Pondok Gede, Bekasi",089654409651,Di bawah Rp. 50.000 /orang
"Osteria Gia 
                [ Italia ]",https://pergikuliner.com/restaurants/jakarta/osteria-gia-scbd,SCBD , Italia,4.5,4.5,3.9,4.4,4.5,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokBisa reservasiArea parkirAlkohol,"Pacific Place Mall, Lantai Ground, East LobbyJl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan","021 5153300,  081513153300",Di atas Rp. 200.000 /orang
"Tucano's Churrascaria Brazilian BBQ & Buffet 
                [ Brasil ]",https://pergikuliner.com/restaurants/jakarta/tucano-s-churrascaria-brazilian-bbq-dan-buffet-tanah-abang,Tanah Abang , Brasil,4.6,4.4,4.1,4.4,4.3,Senin - Minggu (11:00 - 21:30),"Tunai, Visa, Master, Debet, Go-pay, QRIS",Wifi100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Apartemen Pavilion Sudirman, Lantai GroundJl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat","021 29023398,  087888958414",Di atas Rp. 200.000 /orang
"Jia Xiang Kopitien 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/jia-xiang-kopitien-pulo-gadung,Pulo Gadung , Kafe,4.6,4.6,4.6,4.6,4.6,Senin - Minggu (07:00 - 14:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",Area merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"All Fresh AvenueJl. Kayu Putih Raya No. 1, Pulo Gadung, Jakarta Timur",081297668651,Rp. 50.000 - Rp. 100.000 /orang
"Gyumbox 
                [ Indonesia ]",https://pergikuliner.com/restaurants/tangerang/gyumbox-gading-serpong,Gading Serpong , Indonesia,4.4,4.6,4.2,4.4,4.6,Senin - Minggu (10:00 - 21:00),"Tunai, Debet, Go-pay, Ovo, Dana",Wifi100% HalalBisa reservasiArea parkir,"Ruko Boulevard Paramount Gading Serpong, Blok AA3 No. 48Jl. Gading Serpong Boulevard, Gading Serpong, Serpong, Tangerang",085320602000,Di bawah Rp. 50.000 /orang
"Chanba Private Room Grill 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/chanba-private-room-grill-pantai-indah-kapuk,Pantai Indah Kapuk , Jepang,4.3,4.6,4.1,4.5,4.6,Senin - Minggu (11:00 - 24:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana, QRIS",WifiArea merokokRuang VIPBisa reservasiArea parkirAlkohol,"Ruko Crown Golf, Blok D No. 21 - 23, Bukit Golf MediteraniaJl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",081258885006,Rp. 100.000 - Rp. 200.000 /orang
"Aljazeerah Restaurant & Function Hall - Polonia 
                [ Arab/Timur Tengah ]",https://pergikuliner.com/restaurants/jakarta/aljazeerah-restaurant-dan-function-hall-polonia-jatinegara,Jatinegara , Arab/Timur Tengah,4.8,4.7,4.6,4.6,4.4,Senin - Minggu (10:00 - 20:00),"Tunai, Visa, Master, Debet",WifiPesan antarArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Cipinang Cempedak I No. 29, Jatinegara, Jakarta Timur",021 22850588,Rp. 100.000 - Rp. 200.000 /orang
"Haidilao Hot Pot 
                [ China ]",https://pergikuliner.com/restaurants/jakarta/haidilao-hot-pot-gandaria,Gandaria , China,4.5,4.4,4.0,4.8,4.5,Senin - Minggu (10:00 - 24:00),"Tunai, Visa, Master, Debet",Wifi100% HalalRuang VIPBisa reservasiArea parkir,"Gandaria City, Lantai Ground, Mainstreet DiningJl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan","021 27085851,  021 27085852,  081385505227",Di atas Rp. 200.000 /orang
"Dobro Coffee 
                [ Kafe ]",https://pergikuliner.com/restaurants/bekasi/dobro-coffee-medan-satria,Medan Satria , Kafe,4.4,4.6,4.5,4.5,4.6,Senin - Minggu (11:00 - 23:00),"Tunai, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Perumahan Pejuang Jaya, Blok F No. 136Jl. Pejuang Jaya Utama, Medan Satria, Bekasi",088211668207,Di bawah Rp. 50.000 /orang
"Roemah Legit 
                [ Indonesia ]",https://pergikuliner.com/restaurants/bandung/roemah-legit-naripan,Naripan , Indonesia,4.4,4.5,3.9,4.4,4.4,"Senin - Kamis (10:00 - 21:00), Jumat - Sabtu (10:00 - 22:00), Minggu (10:00 - 21:00)","Tunai, Visa, Master, Debet, Ovo",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Embong No. 15, Naripan, Bandung","022 4201997,  081224554228,  082120980008",Rp. 50.000 - Rp. 100.000 /orang
"Steak 21 Buffet 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/steak-21-buffet-karet-kuningan,Karet Kuningan , Barat,4.6,4.2,4.3,4.8,4.4,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",Wifi100% HalalArea parkir,"Lotte Mall Jakarta, Lantai 3Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",021 29888895,Di atas Rp. 200.000 /orang
"Omah Anglo 
                [ Indonesia ]",https://pergikuliner.com/restaurants/bekasi/omah-anglo-bekasi-barat,Bekasi Barat , Indonesia,4.5,4.5,4.6,4.4,4.4,Senin - Minggu (06:00 - 23:00),"Tunai, Go-pay, Ovo, Dana",Pesan antarArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Jatiluhur Raya No. DB9, Bekasi Barat, Bekasi","082122659588,  081291772835",Di bawah Rp. 50.000 /orang
"Manzo 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/manzo-pondok-indah,Pondok Indah , Barat,4.3,4.5,3.9,4.7,4.5,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Pondok Indah Mall 1, Street Gallery, Lantai 1Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan","021 29529720,  081380993188",Di atas Rp. 200.000 /orang
"Pho Ba Ba 
                [ Vietnam ]",https://pergikuliner.com/restaurants/jakarta/pho-ba-ba-kelapa-gading,Kelapa Gading , Vietnam,4.4,4.6,4.2,4.6,4.5,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",Wifi100% HalalArea parkir,"Mal Kelapa Gading 1, Lantai GroundJl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",088210365838,Rp. 50.000 - Rp. 100.000 /orang
"Kollabora Coffee Geeks and Workspace 
                [ Kafe ]",https://pergikuliner.com/restaurants/surabaya/kollabora-coffee-geeks-and-workspace-dukuh-pakis,Dukuh Pakis , Kafe,4.7,5.0,4.4,5.0,4.9,"Senin - Jumat (07:00 - 22:00), Sabtu - Minggu (07:00 - 24:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokok100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Raya Kupang Indah No. 51, Dukuh Pakis, Surabaya",081130558888,Rp. 100.000 - Rp. 200.000 /orang
"Mr. Fox 
                [ Barat ]",https://pergikuliner.com/restaurants/surabaya/mr-fox-tegalsari,Tegalsari , Barat,4.8,4.8,3.8,4.8,4.7,"Senin - Kamis (11:00 - 24:00), Jumat - Sabtu (11:00 - 01:00), Minggu (11:00 - 24:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana, QRIS",WifiArea merokokArea outdoorRuang VIPBisa reservasiArea parkirAlkohol,"Tunjungan Plaza 5, Lantai Upper GroundJl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",089670364055,Di atas Rp. 200.000 /orang
"Tsamara Resto & Function Hall 
                [ Indonesia ]",https://pergikuliner.com/restaurants/bekasi/tsamara-resto-dan-function-hall-jatisampurna,Jatisampurna , Indonesia,4.2,4.8,4.1,4.3,4.2,Senin - Minggu (10:00 - 21:00),"Tunai, Visa, Master, Debet, Dana",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Raya Hankam Kav. 69, Jatisampurna, Bekasi","082125574241,  021 84310669",Rp. 50.000 - Rp. 100.000 /orang
"Holycow! STEAKHOUSE by Chef Afit 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/holycow-steakhouse-by-chef-afit-mampang,Mampang , Barat,4.9,4.6,4.6,4.8,4.6,Senin - Minggu (11:00 - 21:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Food LabJl. Kapten Tendean No. 41, Mampang, Jakarta Selatan","081316070950,  081282598159",Di atas Rp. 200.000 /orang
"Warung Leko 
                [ Indonesia ]",https://pergikuliner.com/restaurants/jakarta/warung-leko-senayan-2,Senayan , Indonesia,4.6,4.3,4.4,4.6,4.7,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",100% HalalBisa reservasiArea parkir,"Plaza Senayan, Lantai Basement, The FoodHallJl. Asia Afrika, Senayan, Jakarta Selatan",081322073624,Rp. 50.000 - Rp. 100.000 /orang
"Animale Restaurant 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/animale-restaurant-setiabudi,Setiabudi , Barat,4.5,4.5,3.7,4.4,4.7,Senin - Minggu (12:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoorRuang VIPBisa reservasiArea parkirAlkohol,"MD Place, Lantai 11Jl. Setiabudi Selatan No. 7, Setiabudi, Jakarta Selatan",087772646253,Di atas Rp. 200.000 /orang
"STUCO Coffee 
                [ Kafe ]",https://pergikuliner.com/restaurants/bogor/stuco-coffee-puncak,Puncak , Kafe,4.5,4.8,4.5,4.4,4.4,"Senin - Kamis (12:00 - 20:00), Jumat - Minggu (10:00 - 20:00)",Tunai,WifiArea merokok100% HalalBisa reservasiArea parkir,"Jl. Cidokom No. 8, Puncak, Bogor",085773814656,Di bawah Rp. 50.000 /orang
"Toodz House 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/toodz-house-fatmawati,Fatmawati , Kafe,4.4,4.4,4.2,4.1,4.1,"Senin - Kamis (08:00 - 23:00), Jumat (13:00 - 23:00), Sabtu - Minggu (08:00 - 23:00)","Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta Selatan",021 75904015,Rp. 50.000 - Rp. 100.000 /orang
"HittoBitto 
                [ Jepang ]",https://pergikuliner.com/restaurants/bandung/hittobitto-trunojoyo,Trunojoyo , Jepang,4.1,4.7,3.8,4.5,4.6,"Senin - Kamis (11:00 - 21:30), Jumat - Sabtu (11:00 - 22:00), Minggu (11:00 - 21:30)","Tunai, Debet",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Trunojoyo No. 62, Trunojoyo, Bandung",08112331611,Rp. 100.000 - Rp. 200.000 /orang
"Sushi Hiro 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/sushi-hiro-thamrin,Thamrin , Jepang,4.6,4.9,4.1,4.3,4.5,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",Ruang VIPArea parkirAlkohol,"Plaza Indonesia, Lantai 2Jl. MH Thamrin, Thamrin, Jakarta Pusat",021 29924259,Rp. 100.000 - Rp. 200.000 /orang
"Norge 
                [ Es Krim ]",https://pergikuliner.com/restaurants/bandung/norge-banda,Banda , Es Krim,4.4,4.1,4.2,4.5,4.3,"Senin - Jumat (11:00 - 22:00), Sabtu (11:00 - 23:00), Minggu (11:00 - 22:00)","Tunai, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Banda No. 4, Banda, Riau, Bandung",022 7107480,Di bawah Rp. 50.000 /orang
"Altitude Grill 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/altitude-grill-thamrin,Thamrin , Barat,4.6,4.9,4.3,4.5,4.6,Senin - Minggu (12:00 - 21:00),"Tunai, Visa, Master, Debet",WifiArea merokokBisa reservasiArea parkirAlkohol,"Altitude The Plaza, Lantai 46Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat","021 29922448,  081996774646",Di atas Rp. 200.000 /orang
"Exquise Patisserie 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/exquise-patisserie-kelapa-gading,Kelapa Gading , Kafe,4.4,4.5,4.0,4.2,4.4,Senin - Minggu (08:00 - 21:30),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiPesan antarArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Boulevard Raya Blok WB2 No. 24, Kelapa Gading, Jakarta Utara","021 45856951,  08174918870",Rp. 100.000 - Rp. 200.000 /orang
"Redback Specialty Coffee 
                [ Kafe ]",https://pergikuliner.com/restaurants/surabaya/redback-specialty-coffee-dukuh-pakis-2,Dukuh Pakis , Kafe,4.5,4.7,4.0,4.3,4.4,Senin - Minggu (06:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Golf Graha Famili dan Country ClubJl. Raya Golf Graha Famili Blok K, Dukuh Pakis, Surabaya","031 99148377,  081335727369",Rp. 100.000 - Rp. 200.000 /orang
"Hibara Ramen 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/hibara-ramen-panglima-polim,Panglima Polim , Jepang,4.6,4.4,4.3,4.2,4.4,Senin - Minggu (08:00 - 21:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Panglima Polim V No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan",087885944244,Rp. 50.000 - Rp. 100.000 /orang
"Myboo.Kit Cafe and Playground 
                [ Kafe ]",https://pergikuliner.com/restaurants/bandung/myboo-kit-cafe-and-playground-dago-atas,Dago Atas , Kafe,4.4,4.5,4.1,4.4,4.1,Senin - Minggu (08:00 - 23:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Bukit Pakar Timur No. 2, Dago Atas, Bandung",081213007060,Rp. 50.000 - Rp. 100.000 /orang
"The Neighbourhood 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/the-neighbourhood-senopati,Senopati , Barat,4.3,4.7,3.9,4.1,4.5,Senin - Minggu (11:00 - 24:00),"Tunai, Visa, Master, Debet",WifiArea merokok100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Cipaku I No. 85, Senopati, Kebayoran Baru, Jakarta Selatan",082299809828,Rp. 100.000 - Rp. 200.000 /orang
"Namaaz Dining 
                [ Indonesia ]",https://pergikuliner.com/restaurants/jakarta/namaaz-dining-senopati,Senopati , Indonesia,4.4,4.5,4.4,4.6,4.7,"Selasa - Sabtu (19:00 - 22:00), Senin dan Minggu Tutup","Hanya Non-Tunai: Visa, Master, Debet",Wifi100% HalalBisa reservasiArea parkir,"Jl. Gunawarman No. 42, Senopati, Kebayoran Baru, Jakarta Selatan","021 29054084,  08111557798",Di atas Rp. 200.000 /orang
"Locaahands 
                [ Kafe ]",https://pergikuliner.com/restaurants/surabaya/locaahands-wonokromo,Wonokromo , Kafe,4.5,4.5,4.2,4.4,4.5,Senin - Minggu (07:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoorBisa reservasiArea parkirAlkohol,"Jl. Opak No. 39, Wonokromo, Surabaya",083825207576,Rp. 50.000 - Rp. 100.000 /orang
